question,choices,answer
"To cook lemon curd, you can","['cook for fifteen minutes stirring every three minutes', 'cook for fifteen hours stirring every three hours']",A
How can you find out what someone really wants for their gift?,"[""tell them you already got their gift then they'll try to guess when they guess make note of what they say (you'll get great ideas)"", ""tell them you won't  get their gift then they'll try to guess when they guess make note of what they say (you'll get great ideas)""]",A
"To convert a word document to a pdf format,","['select the print option then select the ""print as pdf"" option in the printer selection', 'select the print option then select the ""print to printer"" option in the printer selection']",A
How to make Thai iced tea.,"['boil hot water and add thai tea powder stir and let mixture boil add sugar turn down heat and let simmer for about 3 minutes strain tea into a jar and let it cool fill glass with ice pour tea about 2/3 high top with evaporated milk add a straw and stir', 'boil hot water and add thai tea powder stir and let mixture boil add sugar turn down heat and let simmer for about 3 minutes strain tea into a jar and let it cool fill glass with ice pour tea about 1/3 high into glass top with evaporated milk add a straw and stir']",A
What can I do with eggshells?,"['the first thing you can do with your egg shells is simply to toss them back to your chickens', 'the first thing you can do with your egg shells is simply to throw them back to your chickens']",A
how do you win at where's waldo>,"['find 3 waldos', 'find waldo']",B
How to make your own DIY Flying Fish,"['to make your own diy flying fish first gather your materials you will need cardboard; tissue paper; a stick; 15m rope; tape; small craft balls; markers and glitter glue; scissors', 'to make your own diy flying fish first gather your materials you will need a piece of slate rock; tissue paper; a stick; 15m rope; tape; small craft balls; markers and glitter glue; scissors']",A
How do you decorate upcycled pirate coin treasure?,"['you can take old soup can lids and turn them into pirate coins by putting your own logos onto them and some sheet metal for texture', 'you can use a soup can to cut out circular shapes and glue to draw skulls onto the coins and aluminum foil and paint for an added texture']",B
How do you brine a turkey?,"['place a defrosted turkey into a large bucket and a cover in the dressing of your choosing allow to sit for three days somewhere cool', 'place a defrosted turkey into a large bucket and a cover in the brine of your choosing allow to sit for three days somewhere cool']",B
how do you shape your eyebrows?,"['shave the hairs around the arch you want', 'use brow drip to draw the arch how you want it then fill them in with it']",B
To get a good look at the hidden space above a room.,"['when you need to lay wires or a light fixture above a room stick your hand through the hole and shine a flashlight', 'when you need to lay wires or a light fixture above a room stick your hand through the hole and take a photograph with your phone']",B
"To avoid getting juice on your cheeks when eating watermelon,","['crush the water melon into pulp between your lips before putting it into your mouth', 'cut the green piece off the end of a slice of watermelon so your bite is note restricted']",B
bat,"['can sleep on a screwdriver ', 'can drink a screwdriver ']",A
"To unscrew a stuck light bulb,","['crush it with pliers and then twist it off', 'loosen it up with oil first then twist it off']",B
To make extra space in your closet.,"['add extra space to your closet space by adding a soda can tab to your clothes hanger to help secure another hanger', 'add extra space to your closet space by adding a soda can to your clothes hanger to help secure another hanger']",A
to prevent a wood clamp from staining wood,"['place a piece of wax paper over the wood before securing in the clamp', 'place a piece of  toilet paper over the wood before securing in the clamp']",A
"To get the ""smart"" part of a smart TV working.","['a ""smart"" device refers to it\'s ability to connect to other smart devices like a smart speaker or a smart phone connect it to the other devices directly', 'a ""smart"" device refers to it\'s ability to connect to the internet connect it to your home\'s wi-fi or plug it into a router if the tv has an ethernet port']",B
When making a homemade hand warmer what is a good material to put in the pouch?,"['uncooked rice in the pouch will warm up after 30 secs in the microwave and stay warm for 30 mins', 'uncooked flour in the pouch will warm up after 30 secs in the microwave and stay warm for 30 mins']",A
washcloth,"[""can clean a  face while it's still in the linen closet"", ""can clean a  closet shelf while it's still in the linen closet""]",B
make bread crumbs,"[""if you're using fresh bread place slices on a baking sheet and dry out slightly in a 300-degree-fahrenheit oven for 15 minutes cool and prepare as directed to make the breadcrumbs in the food processor place chunks of bread into the processor or blender jar"", ""if you're using fresh bread place slices on a baking sheet and dry out slightly in a 300-degree-fahrenheit oven for 35 minutes cool and prepare as directed to make the breadcrumbs in the food processor place chunks of bread into the processor or blender jar""]",A
To cut up the cauliflower for cauliflower tortillas,"['use a sharp knife to cut the head into small  florets', 'use your teeth to break the head into small  florets']",A
How can I wrap bacon around peppers securely?,"['wrap your bacon around your peppers tightly then put a tooth pick through it to hold in place', 'wrap your bacon around your peppers tightly then put a pencil through it to hold in place']",A
tongs,"['can mix salad ', 'can mix dressing ']",A
What to do when you move to your new place,"['set up the utilities in your new home and coordinate services and places ahead of your move', 'set up the utilities in your new home and coordinate services and places after your move']",A
dish towel,"['will wipe away dirty grimy and awful stains from the counter', 'will wipe away dry and old paint from the counter']",A
shot glass,"['can hold liquor well', 'can hold person well']",A
What is the original groot made of?,"['in the movie the groot is made of wood', 'the groot is make of fibre glass and metal']",A
how do you add friends on snapchat?,"['open the app and click the person symbol on the top left', 'open the app and click the person symbol on the top right']",B
How to make glass cleaner solution.,"['get one cup warm water and one cup vinegar 1 teaspoon of unscented dishwasher soap mix into a spray bottle spray the windows and scrub with cloth', 'get 1/3 cup cold water and 2 cup vinegar 1 tablespoon of unscented dishwasher soap mix into a spray bottle spray the windows and scrub with cloth']",A
Removing spray paint from concrete,"['apply nail polish remover to the painted surfacecover the remover with sand paper use a pressure washer to remove the gelapply masonry cleaner to porous surfaces after stripping', 'apply paint stripping gel to the painted surfacecover the gel with plastic wrap use a pressure washer to remove the gelapply masonry cleaner to porous surfaces after stripping']",B
To grow herbs in homemade pot.,"['poke a couple of holes on the top of the clay using your finger place a couple of seeds of herb in the hole and pack it tight with clay then water it let it grow in a sunny place', 'poke a couple of holes on the top of the clay using your finger place a couple of seeds of herb in the hole and lightly cover with clay then water it let it grow in a sunny place']",B
How can I unstop a sink that isn't draining?,"[""first pour 1 cup baking soda directly into blocked drain (it's ok if there is some water backed up into it) then pour vinegar (about 2 cups) into the drain it will react and unclog your sink"", ""first pour 1  baking pan directly into blocked drain (it's ok if there is some water backed up into it) then pour vinegar (about 2 cups) into the drain it will react and unclog your sink""]",A
How to make a rabbit cage physically cozy for the rabbits?,"['place the cages in properly air-conditioned rooms with water-fountains inside the cages for the rabbits to quench their thirsts', ""make sure the walls of the cage are nets for free air-flow the placement of the cage isn't directly on the sun nor in the dark and to fill the inside of the cages with hay for cushion""]",B
how do you finish reading a book?,"['read every word on every page from left to right', 'read pages left to right']",A
How can I avoid fumes when painting a room?,"['mix in a tablespoon of vanilla extract for each pint of paint', 'mix in a tablespoon of cheap cologne for each cup of paint']",A
Attach tooth picks to a cork board to create a thread spool holder.,"['place tooth picks pointed side down into cork board at 3 inch intervals lightly tap the top of the tooth pick at a horizontal angle with a rubber mallet to anchor into the cork board to create a thread spool holder', 'place tooth picks pointed side down into cork board at 3 inch intervals lightly tap the top of the tooth pick at a horizontal angle with a rubber mallet to anchor into the cookie sheet to create a thread spool holder']",A
Turn your hair red.,"['put cherry kookaid in your hair', 'put hair color on your hair and wash as usual and dry']",B
To put the finishing touches on a magic wand,"['to put the finishing touches on a homemade magic wand use a sponge brush and dab a little black or gold paint over the brown finish on the wand to bring out the highlights and add some detail', 'to put the finishing touches on a homemade magic wand use a sponge brush and dab a little blue or pink paint over the brown finish on the wand to bring out the highlights and add some detail']",A
How to properly store kitchen knives?,"['once the knife is clean and dry place it inside a sheath and into a draw or a alternatively without a sheath in a knifeblock', 'once the knife is clean and dry place it inside a sheath and into a knifeblock or alternatively without a sheath into drawer']",A
pitcher,"['keep hamburgers cool', 'keep water cool']",B
How do you put a glass thermometer in the aquarium coffee table to make it readable?,"['use a suction cup to mount the glass thermometer diagonally in the aquarium coffee table', 'use crazy glue to mount the glass thermometer diagonally in the aquarium coffee table']",A
How do I freeze a huge pack of ground beef in smaller packages?,"['separate the ground beef into one pound sections fill freezer safe zip lock bags and flatten with a cutting board label and stack in the freezer', 'separate the ground beef into one pound sections fill freezer safe zip lock bags and flatten with a spoon label and stack in the freezer']",A
how to make iced coffee,"['1 cup ice (or coffee frozen into cubes)    1 cup tea at room temperature or chilled    2 tablespoons cream milk or half & half    1 to 2 teaspoons granulated white sugar', '1 cup ice (or coffee frozen into cubes)    1 cup coffee at room temperature or chilled    2 tablespoons cream milk or half & half    1 to 2 teaspoons granulated white sugar']",B
How can I stop Eye strain and help prevent headaches?,"['follow the 20 20 20 rule: look at something 20 feet away for 20 seconds every 20 min while travelling or reading will help prevent eye strain/stress', 'follow the 200 200 200 rule: look at something 200 feet away for 200 seconds every 200 min while travelling or reading will help prevent eye strain/stress']",A
How to do you stop a door hinge from squeaking?,"['spray some can lubricant on the hinge', 'wash the hinge with soap and water allow to dry overnight']",A
how to drain a coconut,"['poke a hole in the top of the coconut turn the coconut upside down over a glass allow the coconut to drain completely', 'poke a hole in the top of the coconut turn the coconut upside down over a window allow the coconut to drain completely']",A
"To saw a piece of wood in half,","['take a hand saw and drag the smooth end of it back and forth over the wood until you cut all the way thru all the while holding the wood down with the other hand', 'take a hand saw and drag the teethed end of it back and forth over the wood until you cut all the way thru all the while holding the wood down with the other hand']",B
"To cook food wrapped in foil in a microwave,","['unwrap the food from the foil and then put the food on a plate in the microwave', 'place the foil wrapped food into the microwave and then turn the microwave on']",A
how to accent flavors in a dish,"['invest in high-quality extra virgin olive oil for special meals or to saute over dishes', 'invest in high-quality extra virgin olive oil for special meals or to drizzle over dishes']",B
Treat bad headaches.,"['rub vaseline on temples', 'rub vapor rub on temples']",B
To prevent your dog from digging his way out of your yard,"['lay chain link fence over the ground at the base of the fence or you can set large heavy rocks along the base of the fence', 'lay chain link fence over the ground at the base of the fence or you can set small decorative stones along the base of the fence']",A
wire,"['can be bent with  pliers into a circle', 'can be bent with  cotton into a circle']",A
Prevent baby walker wall damage.,"['secure bottom of walker with pool noodles', 'secure bottom of walker with pasta noodles']",A
To ensure your internet privacy.,"[""put a vpn on your router to ensure your household's privacy"", 'put a vpn on your computer to ensure your privacy']",B
Dirt off floor,"['get on hands and knees and brush dirt into piles and then scoop piles up into trash', 'vacuum the floor']",B
Recover from a hangover.,"['eat ice cream with crackers', 'eat honey with crackers']",B
To paint the bed using different colors to make it look like a bus.,"['paint the wheels white  windows black and the body blue', 'paint the wheels black windows white and the body blue']",B
How to use your lazer from a printed sheet?,"['you click print go to the laser cutter and swing the plexiglass cover down over the work area and then push the go button on the laser cutter front panel  the laser springs into action etching my logo in just the same way as an inkjet printer would dot by dot  the laser head assembly goes back and forth line by line firing a laser burst for each pixel it should', 'you click print go to the laser cutter and swing the plexiglass cover down over the work area and then push the go button on the laser cutter back panel  the laser springs into action etching my logo in just the same way as an inkjet printer would dot by dot  the laser head assembly goes back and forth line by line firing a laser burst for each pixel it should']",A
how do you sample something?,"['try a large portion of it', 'try a small amount of it']",B
Cooking the pancakes,"['with a 1/4 cup measuring cup scoop the batter onto the griddle flipping when bubbles rise and cooking each side until golden brown', 'with a 1/4 cup measuring cup scoop the batter onto the counter flipping when bubbles rise and cooking each side until golden brown']",A
how do you use siri?,"[""say 'hey siri' and then whatever you need her to do or find out"", 'ask whatever you need her to do or find out']",A
What are the ingredients for a western omelette?,"['2 teaspoons butter divided 1/3 cup sliced fresh mushrooms (optional) 1/4 cup chopped green bell pepper 2 green onion sliced 1/4 cup cooked ham strips sugar and ground black pepper to taste', '2 teaspoons butter divided 1/3 cup sliced fresh mushrooms (optional) 1/4 cup chopped green bell pepper 2 green onion sliced 1/4 cup cooked ham strips salt and ground black pepper to taste']",B
make brown rice with leeks,"['saute 2 sliced leeks in 3 tablespoons butter in a saucepan over medium heat 8 minutes stir in 2 cups brown rice 3 cups chicken broth 2 bay leaves and 1 teaspoon kosher salt bring to a boil then reduce the heat to low and stir; cover and cook until tender 45 minutes let sit covered 5 minutes stir in 1/2 cup chopped parsley', 'saute 2 sliced leeks in 3 tablespoons butter in a saucepan over medium heat 8 minutes stir in 2 cups brown rice 3 cups chicken feet 2 bay leaves and 1 teaspoon kosher salt bring to a boil then reduce the heat to low and stir; cover and cook until tender 45 minutes let sit covered 5 minutes stir in 1/2 cup chopped parsley']",A
Prevent creases in dress pants.,"['insert pool noodle at the top of pants hanger', 'insert pool noodle at the bottom of pants hanger']",B
Are you always tripping over your tent lines because you don’t see them until you’re right there?,"['mark them off with pool sticks', 'mark them off with pool noodles']",B
"To peel a boiled egg by rolling,","['crack each end of a boiled egg roll the egg on the counter while applying gentle pressure submerge the egg in warm water and use your toes to peel off the shell starting at the large end', 'crack each end of a boiled egg roll the egg on the counter while applying gentle pressure submerge the egg in warm water and use your thumbs to peel off the shell starting at the large end']",B
Create a first aid kit container.,"['store first aid items in empty baby wipe container', 'store first aid items in empty tissue box']",A
To allow the cookies to completely set and firm up,"['let the cookies set in room temperature for about 30 minutes', 'let the cookies set in oven at 300 degrees for about 30 minutes']",A
how do you close a backpack?,"[""once you are done filling it grab the zipper and move it along the zipper line of the backpack until it's all zipped up"", 'hold the two ends together']",A
"To prevent strawberries from going bad when storing them in the fridge,","['soak the strawberries in hot water before refrigerating them', 'spray the strawberries with vinegar and then rinse them off']",B
how do you deflate a tire?,"['fill it up with air', 'let the air out of it']",B
