question,choices,answer
"[header] How to care for dry curly hair [title] Apply a deep conditioner just before you get in the shower. [step] Work a liberal amount of deep conditioner into your hair section by section, pulling apart your curls and coating each strand. The longer and thicker your hair and the tighter your curls, the more conditioner you will need.","['[title] Apply a shower cap to help lock in humidity and keep your hair from becoming clogged, whereas keeping the moisture out will help you sleep soundly. [step] In between showers, apply a deep conditioner with spf 15 or higher if your hair is very damp.', '[substeps] You can keep your hair very tight or loose by using a towel. [title] Place your curls under cool water using a brush.', ""Tuck it up under a shower cap and hop in the shower, washing your body first. [substeps] Once you've kept the cap on for about 10 minutes, remove it and wash your hair as usual."", '[substeps] You can have a deep conditioner made at home, or opt for a hair supply store. [title] Rinse the conditioner out with cool water.']",C
"[header] How to get wavy hair overnight with a bun [title] Cut off the toe of an old sock. [step] Any cotton tube sock will do. If you have very long hair, you'll want a bigger sock, so choose a men's sock if you can locate one.","['Remember, curly hair tends to have more split ends. [title] Tie a headband onto the sock.', '[title] Try braiding it to make your layered look. [step] Braid it several times until you have about six strands of hair left, and tie the ends with a rubber band.', 'Consider going with a round sock or rectangle sock for coarse hair. [substeps] Remember, the longer you style your hair, the shorter it will grow.', ""Then simply snip off the toe using a pair of scissors. You now have a tube of cloth that's open at both ends.""]",D
[header] How to sell a car on craigslist [title] Visit the craigslist website. [title] Select your country and city. [step] Craigslist allows you to post based on your location.,"['Cars brought to your location are considered items in the "" are we in england, texas? "" section of the craigslist website, which is one of the largest sites available. If you travel frequently, you might want to enter your city and state into the "" have us updates "" or "" how to sell a car "" field below.', 'Picking the country, city and area closest to you will make for an easier process when shipping or arranging a pick up of your goods. [title] Click the "" post to classifieds "" link near the top left corner.', 'Among the three countries listed are : [substeps] New york new jersey washington dc pennsylvania washington state new jersey pennsylvania pennsylvania oregon texas washington [title] Log in to your craigslist account. [step] Enter your address, zip code, and country code if prompted, and then click "" sign in "" to continue.', 'On the upper left of the website is a list of all countries that do new car sales. [substeps] Wait until the item to be advertised has not been sold yet.']",B
"[header] How to fix dough that won't rise [title] Turn up the temperature. [step] Yeast loves nothing better than a warm, moist climate to live its yeasty life to the fullest. If you want your dough to rise, you need to give the yeast what it wants.","[""Use a dry brush to dampen the area you're working on and apply distilled water. [substeps] Don't use a brush if you can or you risk getting mineral oil in your dough."", 'If the dough is warm enough, then it will rise. [substeps] Turn up the temperature to 80 ° f (35 ° c).', 'Turn the temperature down to a temperature as low as it wants to rise. Start with an even temperature, read the label carefully to see how long the mixture will need to cook.', '[substeps] Fill a baking pan with boiling water, and set it on the lowest rack in your oven. Place the container of dough on the middle rack, and close the oven door and allow the dough to rise.']",D
A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats. she,"['is then seen sitting alone as she eats a cold brown ice cream.', 'pauses in the process of eating to enjoy her food.', 'stands up and grabs her purse, continuing to talk and laugh as she leaves.', 'picks up another chocolate bar and chews it as she talks.']",C
She grabs a bottle of vinegar and pours it on top of the salad. She opens a bottle with her teeth and pours that onto the salad too. she,"['drops, paste, mayonnaise, lettuce and bread onto the lettuce and red tomato.', 'puts more dressing on the salad.', 'then pours the salad in another bottle and puts it on a plate next to her.', 'puts the lettuce on top of the salad.']",B
We see a male gymnast prepare to use the pommel horse. the man,"['holds a rod over his head and performs a routine using the end of the rod.', 'lifts weights in the air.', 'begins to raises his legs up then down.', 'mounts the pommel horse and spins his legs around it.']",D
A coach explains to a group of teen basketball players in a gym. the teens,"['make numerous blakes into obstacles.', 'practice, and kick the ball as when it goes down the court.', 'are aligned in two lines, then they pass the ball each other to threw the ball to the basket.', 'grab their rods and train in the same formation.']",C
"[header] How to fake a thick russian accent [title] Roll your/r /. [step] As with many european languages, the/r/is rolled or trilled in russian. So, when you are speaking english with a russian accent, make sure you roll your rs.","[""R as' s' at the end, not' s'. [title] Pronounce the r like' sp' instead of' th'."", 'And z tones together in a controlled manner, and go back and forth, in between the consonants. [title] Fake russian for short and long sentences.', '( the instead of the r in your accent). [substeps] The g sound refers to the metal rings on your mimatically timed g.', ""Doing this consistently will make the accent sound more authentic. Don't trill your/r/for too long, as this will make the accent sound fake.""]",D
The lady and the man dance around each other in a circle. The people finish and shake hands. the screen,"['turns a blue shade and the lady is crying.', 'goes black and the ending title loads.', 'is u lit up.', 'changes to different advertisements for yoga.']",B
"[header] How to remove dry skin from your feet using epsom salt [title] Buy epsom salt. [step] Epsom salt is available at most drug stores. You'll likely find it in the same section as painkillers (aspirin, ibuprofen etc.","["") that you get for comfort and health, along with snack ingredients, which you'll likely be using regularly. [substeps] If you live in a country that doesn't have an epsom salt aisle, you'll likely need more than one container."", "") and bandages, since it's often used for muscle aches. Make sure that the packaging of your epsom salt specifies that they are suitable for human use (in the usa, the package would show a usp designation)."", '), or you can make your own by mixing two parts epsom salt with one part water. Dry, cooked portions can strain the water and is ideal for prolonged use of a foot spa.', '), which can help to strip dry skin from your feet. [substeps] Shake the salt vigorously before applying it to itchy feet.']",B
Pole vault is a sport where you run with a pole and stop and swing your body. a few women,"['go down a rock and stop.', 'watch from around a pole vault.', 'are in the wading pool.', 'are in the gym practicing to do this pole vault, trying to do their best.']",D
The woman picked up the barbell pause at her chest and then push the barbell up. the woman,"['got on her knees, pulled back her head and then bring the weight down on the barbell.', 'then then slid down on her knees and finish by walking away from the horse.', 'threw the weight and finish the long throw.', 'put down the barbell on the floor.']",D
[header] How to present yourself as well off when you are poor [title] Bargain-hunt for nice clothes. [step] Thrift stores often carry name brands or high-quality clothes for an affordable price. [title] Be clean.,"[""[step] Shower or bathe regularly, if possible. You can ask your school social worker, principal, or gym teacher if you can use your school's school shower for this purpose."", ""[step] People often will not take well to dirty clothes because they don't really care at all. Always follow top of the line hygiene techniques and take showers daily."", ""[step] Shower everyday, comb your hair, and wash your face daily. [substeps] It's always nice to wash your clothes after a shower."", ""[step] Don't try to upstage those already poor. Clean yourself prior to going out in public or do some shopping.""]",A
"[header] How to maintain waterproof leather boots [title] Remove the boot laces. [step] Before you begin treating or waterproofing the leather, be sure to take out the laces. They'll only get in the way if you leave them in the boots.","['Removing them will automatically decrease mud and dirt. To remove the laces, whip them around in your hand.', ""Plus, leaving the laces in will make it difficult to treat and waterproof the boots' leather tongue. [substeps] Set the laces aside in a safe place."", '[substeps] If the laces are already dirty, you can skip this step. [title] Soak the laces in warm water.', 'Use a brush to untangle the laces and then clean them off. [substeps] If you are using a brush, make sure to use an excess or significantly more polish.']",B
"[header] How to wear off the shoulder tops [title] Pick an off-the-shoulder top that fits your height. [step] The length of your off-the-shoulder top should correspond with your height. If you're on the taller side, you can balance your height out by wearing long tops.","[""Longer tops on men tend to hug your midsection and look more obvious than short tops on women. [substeps] If you're short, you may only be able to wear two tops under the same length, but with a full length off-the-shoulder top, you can be able to wear more tops."", ""If you are on the shorter side, you're more likely to stand out from other people. [title] Pick an off-the-shoulder top with a low neckline."", ""If you're shorter, it's better to stick to shorter off-the-shoulder tops, or tuck long tops into the front of your pants. [substeps] Longer tops are ones that can go below the waist of your pants or skirt, or ones that cover your butt when you wear them."", 'You can even wedge the top up your side, so it covers your shoulders. [substeps] To add more dimension, try wearing shorts, short sleeved tops, or neutral tops.']",C
[header] How to make a wedding ribbon wand [title] Calculate your budget for the wand. [step] How much money are you willing to spend on a wand per guest? This will help you to choose your materials wisely. [title] Choose the size of the rod.,"['[step] For a wand that has a heavy base, it will cost you plenty of money to make it. For a wand that has smaller base, you may need just one wand, or you may require more to complete a marriage.', '[step] Choosing the length of the rod will affect everything from dowel size to ribbon length. [substeps] Hardware stores carry unfinished wood dowels in 36 "" or 48 "" lengths.', '[step] It can be a wide blade of wood or it can be a one-piece cloth with a slot into the front that allows you to fold it and use it as a dowel rod. [title] Pick a cut size that fits your décor.', ""[step] If you're creating some artistic flair, but only for the birthday party, make sure the rod size is reasonable. You can easily make a wand at home with enough room to do other household household chores, such as washing the dishes, sweeping the floors, and mowing the lawn.""]",B
A male athlete is running on a track. He jumps high into the air. he,"['is then shown running in slow motion.', 'vaults backwards over a high beam.', 'then dismounts quickly, waving to the crowd.', 'then balances himself before dropping to the ground.']",B
A small group of people are seen swimming around a pool. The people throw a ball around the water. the people,"['continue playing with one another in the pool.', 'continue to throw the balls around while walking around with bottles of water.', 'continue swimming around and back to the camera.', 'continue swimming around and play with one another.']",A
A woman is resting next to crashing water. She is smoking a pipe. she,"['then takes a puff off her cigarette.', 'is while ironing a shirt in a machine.', 'blows out a plume of smoke.', 'starts playing a set of drums.']",C
