question,choices,answer
Where do you throw a ball down the lane?,"['city', 'basketball court', 'rural countryside', 'highway', 'bowling alley']",E
It's rude to make loud noise and commentary while watching something where?,"['fair', 'carnival', 'classroom', 'bowling alley', 'movie theatre']",E
Where do you throw garbage?,"['toronto', 'floor', 'trashcan', 'television', 'in your neighbours yard']",C
"The annoying person always had a comment to share, he must think he must what?","['know everything', 'compliments', 'confidence', 'care about', 'spare time']",A
Where could you have fun with lots of people around you?,"['good', ""friend's house"", 'fairgrounds', 'watching television', 'expensive']",C
Why do people who are dying receive social security payments?,"['rejuvenation', 'born again', 'no longer exist', 'unable to work', 'change of color']",D
Who has blood and parents?,"['person', 'bloodbank', 'vein', 'capillaries', 'hospital']",A
Where might someone go after dealing with a passing sentence?,"['death', 'grief', 'appeals', 'anger', 'grammar']",C
"If I'm at the doctor's office looking for a good title, what sort of story am I looking to read?","['book', 'magazine article', 'safe deposit box', 'hotel menu book', 'library']",B
Where could you get something that is made out of wool but cannot be worn?,"['clothing store', 'sweater', 'fabric store', 'jewelry', 'clothing factory']",C
Jenny doesn't like children. What might make Jenny like dislike children?,"['yelling', 'annoying', 'noisy', 'curious', 'innocent']",C
Who can I play with if I know how to play an upright piano?,"['college', 'band', 'living room', 'military', 'house']",B
"The grain-seller needed dry storage, where should he put it?","['pantry', 'storage closet', 'building', 'wet', 'warehouse']",E
"When you see something rise, you are where in relation to it?","['sun set', 'near', 'fall', 'below', 'lower']",D
Playing piano and other creative activities need what?,"['make music', 'inspiration', 'musical sounds', 'making music', 'dancing']",B
Why would someone visit many stores before buying products?,"['online shopping', 'running out of money', 'debt', 'comparison shopping', 'overstocking']",D
What causes someone to laugh from something surprising?,"['fight', 'accidents', 'bad news', 'funny', 'frightened']",D
John plays chess with his roommate They make one move each between classes.  Where is his chess set most likely set up?,"['canada', 'cupboard', 'dorm', 'sitting room', 'drawer']",C
"After waiting in long lines at the airport he finally got to the ticket checker, he got out his billfold to show his ticket and what?","['wallet', 'mans pocket', 'identification', 'money', 'hip pocket']",C
Where would one find a snake in a swamp?,"['oregon', 'mud', 'tropical forest', 'pet store', 'louisiana']",E
What do you normally get out to get yourself a drink?,"['bucket', 'backpack', 'getting drunk', 'cup', 'cabinet']",D
"My uncle was getting a divorce, where did he leave?","['most families', 'act in loco parentis', ""aunt's house"", 'grandmas', 'older generation']",C
When is food never cold?,"['prepared', 'hot', 'baking', 'amiable', 'cooking']",C
At a shop what can you buy to put your spare unused things?,"['basement', 'cardboard box', 'ocean floor', 'high school', 'container']",E
What do you do when your friend needs someone to help them move next week?,"['rely on', 'promise to help', 'pretend to be busy', 'offer to help', 'write letter']",B
What is likely to happen to a snowman that is getting wet?,"['cool off', 'could', 'shrinking', 'get cold', 'get larger']",C
"The farmer was scooping out eyes to plant in the ground, what was he scooping them from?","['elephant', ""person's head"", 'potato', 'faces', 'mammal']",C
"The flooring was a good bargain, you got a bigger discount the bigger the what?","['bundle', 'loft', 'charming', 'home depot', 'house']",A
Where is tin stored forever?,"['shopping bag', 'hardware store', 'landfill', 'junk yard', 'antique store']",C
John lived in a small island surrounded by flowing liquid H2O   Where might he live?,"['japan', 'hawaii', 'mississippi river', 'pacific ocean', 'body of water']",C
Why would someone be listening?,"['empathy', 'thirsty', 'hear things', 'knowlege', 'learning']",C
When going to sleep what happens to your body?,"['snoring', 'latency', 'dreams', 'relaxation', 'dreaming']",D
Where do kids like to hang out to watch tv and avoid their parents in the house?,"['basement', 'kitchen', 'rooms', 'den', 'yard']",A
what does having sex without protection lead to?,"['sexually transmitted diseases', 'making babies', 'bliss', 'aids', 'unwanted pregnancy']",E
Devil's food is something you can win at what fundraising game popular at churches?,"['satanism', 'angel', 'yoke devil', 'cakewalk', 'god']",D
Where do you hang notes in the kitchen?,"['fridge', 'sheet music', 'medical chart', 'from a hook', 'desk']",A
"The principal encourage everyone to try hard in school, what did he want them to do?","['number list', 'do well', 'wear shoes', 'play computer games', 'hope for peace']",B
"The teams were evenly matched when competing against one another, what did spectators want to find out?","['envy', 'resentment', 'winning or losing', 'one winner', 'two winners']",C
"The woman was worried about environmental impact, what did she fret over while attempting to wash clothes?","['pick up', 'use water', 'use soap', 'get dirty', 'gather up']",B
When competing against a fighter with better training you'll likely get a what?,"['pride', 'free hat', 'emotions', 'injury', 'one winner']",D
All the power tools like the drill used for fixing cars made for a very loud workplace where?,"['basement', 'work shop', 'tool shed', 'repair shop', 'store room']",D
Where is somewhere you stop to go to the bathroom when on the road?,"['school', 'rest area', 'at hotel', ""friend's house"", 'educational area']",B
Where do you live if there are a lot of mailboxes in the foyer?,"['spacious house', 'mansion', 'building', 'apartment', 'townhouse']",D
"The CEO's curiosity about the product got the best of her, so she decided to do what with it?","['hear news', 'purchase it', 'examine thing', 'attend school', 'go to market']",E
What happens to the conscience of someone who has been caught committing a murder?,"['jail time', 'fear', 'going to prison', 'nothing', 'feeling of guilt']",E
"The house had expensive insurance, this was because the what had an established history of flooding?","['residential area', 'kitchen', 'basement', 'yard', 'living room']",C
"If people are informed of an imminent war, what do they do next?","['believe in god', 'worship idols', 'hope for peace', 'form opinions', 'buy tanks']",C
"Where would people be looking at some things which can move, but are not moving?","['football stadium', 'surface of earth', 'car show', 'opera', 'movie']",C
"The playroom had many classic toys, the child spilled out each and every plastic monkey out of the what?","['captivity', 'puzzle', 'barrel', 'thailand', 'rain forest']",C
John stood in the courtyard and watched the bulls.  Where might he have been?,"['lawn', 'spain', 'tv room', 'versailles', 'english countryhouse']",B
"Susan was an ordinatry person, but her skills were not ordinary, they were what?","['exceptional', 'strange', 'spectacular', 'unusual', 'special']",A
Where would kids walk to if it hot outside?,"['lake', 'toy store', 'swimming pool', 'park', 'disneyland']",C
"The couple had been copulating seemingly non stop, eventually they finally had a what?","['intense pleasure', 'period of rest', 'babies', 'conversation', 'skin irritation']",B
What is the purpose of playing games for children?,"['winning', 'learning', 'losing', 'fatigue', 'skill']",B
Where does a potato enlarge?,"['garden patch', 'ireland', 'vegetable stew', 'grocery store', 'optical device']",A
What does a parent tell their child to do after they've played with a lot of toys?,"['go to bed', 'become adult', 'read book', 'grow up', 'clean room']",E
Sally appreciated discovering the truth.  After so much worry at gave her what?,"['enlightenment', 'happiness', 'conclusion', 'relief', 'excitement']",D
James picked glass walls because they let more light into the room. Why did they let light in?,"['inventive', 'half empty', 'recyclable', 'clear', 'very fragile']",D
The key to happiness while living life is to do more than what?,"['existing', 'happiness', 'early death', 'acquiring knowledge', 'being idle']",A
"If I wanted to see a lizard in its natural habitat but I do not speak Spanish, where would I go?","['utah', 'south america', 'new hampshire', 'japan', 'new mexico']",A
What are all living things that have at least one nerve called?,"[""person's body"", 'brainstem', 'organism', 'turtles', 'fingertips']",C
"She got in the car after becoming inebriated, what did she cause afterwards?","['fall down', 'arrest', 'pass out', 'flew out', 'death and destruction']",E
The glass window was transparent and thin.   James leaned on ed on it and it cracked.  It was what?,"['soft', 'clear', 'half empty', 'recyclable', 'very fragile']",E
"She left the states and traveled across the pond, her next art gallery was in what city?","['soho', 'london', 'art museum', 'new york city', 'on a mural']",B
"Sharks can be dangerous to encounter, they can be found in each of the whats?","['great oceans', 'tropical waters', 'sea world', 'great outdoors', 'lake michigan']",A
What can be the result of having an unhealthy lunch?,"['become tired', 'spending money', 'obesity', 'obesity', 'heartburn']",E
"He liked his indoor ficus, he simply had to keep it watered and near a what?","['tropical forest', 'ecosphere', 'sunny window', 'sun', 'tropical rainforest']",C
"When you are relaxing with friends, what are you doing if you discuss anything?","['side with', 'hang out', 'go to the movies', 'understand each other', 'talking about']",E
What kind of status is the bald eagle given?,"['outside', 'world', 'protection', 'colorado', 'america']",C
What about you will decrease after you exercise for many months?,"['work out', 'blood', 'expend energy', 'stretch', 'weigh']",E
