question,choices,answer
"At Daifu university, 24% of all students are members of both a chess club and a swim team. If 20% of members of the swim team are not members of the chess club, what percentage of all Daifu students are members of the swim team?","['20%', '30%', '40%', '50%', '60%']",B
A sales person gets a 10% commission on each sale he makes. How many sales of $250 each must he make in order to reach a salary of at least $1000?,"['15', '24', '25', '40', '52']",D
"Suppose you want to arrange your English, Hindi, Mathematics, History, Geography and Science books on a shelf. In how many ways can you do it ?","['520', '720', '920', 'None', 'Cannot be determined']",B
A rectangle has a length of 8 centimeters and a width of 3 centimeters. Find the perimeter.,"['18cm', '22cm', '20cm', '30cm', '28cm']",B
"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?","['40', '200', '380', '400', '3200']",D
"If the population of a city increases by 5 % annually, what will be the population of the city in 2 years time if its current population is 78000?","['81900', '85995', '85800', '90000', 'None of these']",B
"The sum of the digits of a three digit number is 17, and the sum of the squares of its digits is 109. If we subtract 495 from the number, we shall get a number consisting of the same digits written in the reverse order. Find the number.","['368', '377', '288', '997', '112']",A
"What should come in place of the question mark(?) in each of the following questions ?
a2 - b2/(a + b)2 (?)=(a - b)2","['(a + b)(a - b)', '(a - b)2', '(a + b)2', 'a3 + b3', 'None of these']",A
"In a survey of students, each student selected from a list of 10 songs the 2 songs that the student liked best. If each song was selected 5 times, how many students were surveyed?","['96', '48', '32', '25', '18']",D
A man walks at 5 kmph for 6 hrs and at 4 kmph for 12 hrs. His average speed is,"['4 1/3 km/h', '7 2/3 km/h', '9 ½ km/h', '8 km/h', '81 km/h']",A
"The manufacturer of tyres is offering a 20% discount on the price of its tubeless tyres. Some retailers are offering additional discounts. If a retailer offers an additional 20% discount, then what is the total discount available at that retailer?","['10%', '25%', '28%', '30%', '36%']",E
"If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur?","['0.22', '0.26', '0.37', '0.46', '0.63']",B
A man spends Rs. 3500 per month and saves 12 1/2% of his income. His monthly income is ?,"['Rs. 4400', 'Rs. 4270', 'Rs. 4000', 'Rs. 3937.50', 'None of these']",C
"When I was 2 years old, my brother was half my age. Now I am 60 years old, how old is my brother?","['A)59', 'B)69', 'C)79', 'D)89', 'E)99']",A
The average (arithmetic mean) of the weight of 10 vehicles is 12.2 tons. The average weight of the group of vehicles increased by 2.6 tons after a new heavy duty truck was added to the group? What is the weight in tons of the heavy duty truck?,"['40.8', '41.6', '42.2', '43.5', '44.8']",A
"How many ways A boy can reach the top of stairs which contain 10 steps, when he can take either one or two steps every time?","['88', '89', '90', '91', '92']",B
"If x<0, y>0, and |x^3| > |y^2|, which of the following must be true?","['x > y', 'y^2 > x^2', '-x^3 < y^2', '–x < y', 'x < –y']",B
"A box contains a certain number of balls, marked successively from 1 to n. If there are 45 different ways that two balls can be selected from the box such that the ball with number 3 marked on it is not selected, then what is the value of n?","['11', '10', '9', '8', '7']",A
The bus fare of one adult is Rs. 140 from Ranchi to Patna and bus fare of a child is half the fare of one adult between the same places. What is the total bus fare of 4 adults and 3 children between same places?,"['Rs. 666', 'Rs. 670', 'Rs. 700', 'Rs. 570', 'Rs. 770']",E
"All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm?","['50', '70', '75', '100', '125']",C
