question,choices,answer
what will an object receive if it's outside during the day?,"['sleeping', 'electrical energy', 'uva and uvb rays', 'heat energy', 'electromagnetic energy', 'diseases', 'carbon poisoning', 'solar energy']",C
Objects of different materials do what with those materials?,"['share ideas', 'share thoughts', 'share properties', 'reproduce', 'chemical changes', 'protect them', 'flow of electrons', 'share names']",C
What is used to move people across an ocean?,"['a wagon', 'a wave', 'energy', 'wind', 'oil', 'dolphins', 'a ship', 'a catapult']",G
What is marble formed from?,"['earthquakes', 'bases', 'white', 'liquid', 'cells', 'convection', 'conduction', 'heat']",H
what are social?,"['mammals', 'termites', 'bees', 'ducks', 'humans', 'animals', 'fur seals', 'elephants']",B
Lack of which of the following can hinder the break down of food in the body?,"['acid rain', 'water', 'salt', 'weight', 'chemicals', 'recycling', 'sun', 'saliva']",H
What uses organic compounds from dead organisms?,"['fossil fuels', 'swamp vegetation', 'peachleaf willow', 'cooking', 'it needs them', 'heterotrophs', 'agriculture', 'most plants']",F
What can be deceptive?,"['cracks', 'alleles', 'water', 'lenses', 'sound', 'a chime', 'squids', 'swea']",C
what have many organelles?,"['complex', 'plants', 'bacteria', 'parasites', 'animals', 'fungi', 'plant life', 'insects']",E
What lasts only as long as the antibodies survive in body fluids?,"['recovery time from fatigue', 'food poisoning', 'during the day', 'leptospirosis', 'retaining heat', 'breastfeeding provides', 'an area swollen with pus', 'something that causes allergies']",F
Sensory organs can be protected by what kind of goggles during experiments?,"['broken', 'eyes', 'lensless', 'imaginary', 'mohs', 'vibrissae', 'safety', 'skin']",G
What do some mollusks live near?,"['gills', 'rivers', 'desert', 'roads', 'fungi', 'trout', 'clouds', 'water']",F
What is more complex in eukaryotes than in prokaryotes?,"['plants', 'cell immigration', 'cell establishment', 'pollen', 'explosions', 'mitosis', 'a computer', 'orchids']",F
"Many animals that lack a vertebral column, or backbone have a what","['spine', 'exoskeleton', 'parasites', 'leptospirosis', 'epidermal', 'damaged hearing', 'skeleton', 'hip bone']",B
What causes water vapor to condense?,"['water vapor exploding', 'water vapor heating up', 'water vapor disappearing', 'circulatory systems', 'aqueous solution', 'heat energy', 'water vapor chilling', 'evaporation']",G
A what is used to keep food warm or to heat it up?,"['heat', 'gas', 'pan', 'foil', 'freezer', 'fur', 'bag', 'jacket']",C
What do plants do when a tree nearby falls?,"['dormant state', 'they attract birds', 'they die', 'they grow better', 'it remains dormant', 'it becomes dormant', 'they also fall', 'they bend']",D
What can think?,"['fish', 'mountain', 'bats', 'tree', 'humans', 'man', 'rock', 'birds']",A
What are sensitive to water quality?,"['conditions', 'salmon', 'plants', 'clams', 'frost', 'trout', 'stones', 'mussels']",C
populations need for food can lead to what,"['agriculture', 'rapid expansion', 'drinking', 'death and devastation', 'sadness', 'displays of aggression', 'massive damage', 'sorrow']",F
Adult sperm are capable of producing sperm and what in order to be able to reproduce?,"['plants growth', 'reproduce', 'skin cells', 'female gametes', 'it needs them', 'kinetic energy', 'estrogen', 'vaginas']",D
What prevent heat loss from the body after losing hair?,"['gloves', 'skin', 'shoes', 'hats', 'sweat', 'cocoa', 'masks', 'fur']",D
What is essential to make food palatable?,"['organic molecules', 'eating', 'generating heat', 'kinetic energy', 'the digestive system', 'hydrogen and oxygen', 'sound', 'plates']",C
What decreases when the density of an object increases?,"['support', 'heat', 'forces', 'air cools', 'heat energy', 'buoyancy', 'pollution', 'dry and hot']",F
Doing what with sound waves off the bottom of the ocean is used to find the location of objects?,"['observe it', 'skipping them', 'electrical energy', 'rolling them', 'focusing a lens', 'hopping them', 'bouncing them', 'reflecting light']",G
Catalysts require proper what to work?,"['dna', 'ph', 'pan', 'rna', 'elevation', 'time of day', 'gas', 'humidity']",B
What does not spoil the environment?,"['operating a factory', 'driving a car', 'riding a bike', 'food and shelter', 'hydrate their cells', 'lowered energy cost', 'burning a fire', 'peachleaf willow']",C
What do mammals use to conserve heat?,"['energy', 'energy', 'fur and fat', 'blood', 'haircoat', 'food', 'body water', 'tail']",E
What does gasoline release when it separates?,"['kinetic energy', 'heat energy', 'organic compounds', 'decrease bodily water', 'water vapor', 'chemical energy', 'hydrogen and oxygen', 'carbon dioxide']",C
Plastic and other mulches offer a barrier to what?,"['contamination', 'animal survival', 'erosion', 'deposition', 'spores moving', 'bacteria', 'environment', 'high temperature']",E
What can extend the shelf life of food?,"['cooking it', 'enzymes', 'evaporation', 'rays or beams', 'running it under water', 'proteins', 'seasoning it', 'putting it on a counter']",A
what does ultraviolet light cause?,"['purple haze', 'something whose growth is discouraged by heavy wet soils', 'something that can be converted to kinetic and heat energy by a motor', 'freezing', 'skin redness and pain possible swelling blisters fever headaches', 'water vapor rising into colder regions of the atmosphere and condensing', 'loud sounds', 'something that take eight minutes to travel to the earth']",E
What can you ride to get good exercise and avoid producing harmful gases?,"['cows', 'bike', 'stairmaster', 'cycles', 'bus', 'trolley', 'lift', 'goats']",B
What does potassium help an animal do?,"['grow', 'lysing', 'sleep', 'health', 'eat', 'rest', 'growth', 'die']",A
Who pollinates?,"['apples', 'trees', 'corn', 'male', 'plants', 'ants', 'flowers', 'bees']",H
Plants attract bees with what?,"['male gametes', 'organic molecules', 'sense organs', 'fertilization occurs', 'circulatory systems', 'color of their flowers', 'smell and taste', 'chemical energy']",F
Being exposed to wind can cause what of soil?,"['contamination', 'sediment', 'pollution', 'chemical change', 'destruction', 'growth', 'instruction', 'flooding']",E
condensing means changing from a gas into a liquid by reducing what?,"['moving molecules', 'temperature', 'water', 'evaporation', 'hydrogen and oxygen', 'petroleum', 'water expanding', 'humidity']",A
what does predicting weather require?,"['calibrated', 'melanin content', 'meteorologists', 'density', 'communication', 'feedback', 'gamma rays', 'feedback mechanisms']",C
what have a period of courtship?,"['animals', 'sharks', 'pigeons', 'bacteria', 'fur seals', 'judges', 'h2o', 'ducks']",C
What has a characteristic life cycle that includes alternation of generations?,"['humans', 'leaves', 'oak', 'dogs', 'trees', 'cacti', 'amoeba', 'ferns']",H
What can movement of an air mass cause?,"['dehydration', 'sweating', 'localized damage', 'heat energy', 'temperature', 'it gets heated up', 'plant growth is reduced', 'pollution']",C
what does bacteria cause?,"['loss of h2o', 'harmful substances', 'pollution', 'serious illness', 'increase in oxygen', 'carbon', 'deoxyribonucleicacid', 'symptoms']",D
What do seat belts and helmets do?,"['destroy', 'change an ecosystem', 'safe driving', 'protect passengers', 'only discomfort people', 'hurt people', 'oxygen spreads into the air', 'safe operation']",D
What can convert chemical energy into kinetic energy,"['a magnet', 'a vacuum', 'a windmill', 'a battery', 'arteries', 'barnacles', 'animals', 'engines']",D
What occurs when a male gamete swims to an egg?,"['permineralization', 'competition', 'movement', 'rapid expansion', 'fertilization', 'birth', 'copulation', 'ovulation']",E
what are sharks?,"['vertebrates', 'bears', 'cold blooded', 'reptile', 'whales', 'their young', 'coelenterates', 'saves lives']",A
what does propelling sperm from the epididymes do?,"['it keeps an organism warm', 'penis', 'allow growth', 'change density', 'allows male reproduction', 'rapid expansion', 'cause death', 'release energy']",E
